Top Work Values,Job Zone,Code,Occupation,Featured
IWA,4,17-1012.00,Landscape Architects,
IARc,4,13-1081.00,Logisticians,
IARc,4,17-2121.00,Marine Engineers and Naval Architects,
ISW,4,27-2012.05,Media Technical Directors/Managers,Y
IAW,4,13-1199.06,Online Merchants,Y
IARc,4,13-2052.00,Personal Financial Advisors,Y
IWA,4,17-2171.00,Petroleum Engineers,
IRcA,4,27-2012.00,Producers and Directors,Y
IAW,4,11-9141.00,"Property, Real Estate, and Community Association Managers",
IAW,4,27-3031.00,Public Relations Specialists,Y
ISW,4,17-2072.01,Radio Frequency Identification Device Specialists,
IAR,4,41-9021.00,Real Estate Brokers,
IWA,4,17-2199.08,Robotics Engineers,
IWA,4,11-2022.00,Sales Managers,Y
IAW,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",
IAW,4,19-4061.00,Social Science Research Assistants,Y
IAW,4,27-1014.00,Special Effects Artists and Animators,
IWS,4,11-3071.04,Supply Chain Managers,
IWA,4,27-3042.00,Technical Writers,Y
IAW,4,15-1255.01,Video Game Designers,Y
IWA,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",Y
IRcA,5,17-1011.00,"Architects, Except Landscape and Naval",Y
IARc,5,25-4011.00,Archivists,Y
IRW,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Y
IARc,5,19-1029.01,Bioinformatics Scientists,Y
IAW,5,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",Y
IAW,5,25-4012.00,Curators,Y
IAR,5,29-1021.00,"Dentists, General",Y
IAR,5,11-9033.00,"Education Administrators, Postsecondary",Y
IARc,5,13-2099.01,Financial Quantitative Analysts,Y
IRA,5,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Y
IAW,5,19-3092.00,Geographers,
IARc,5,25-1064.00,"Geography Teachers, Postsecondary",
IARc,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",Y
IRA,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates",Y
IWR,5,11-9111.00,Medical and Health Services Managers,Y
IWA,5,19-1029.02,Molecular and Cellular Biologists,
IWA,5,11-9121.00,Natural Sciences Managers,Y
IARc,5,29-1022.00,Oral and Maxillofacial Surgeons,
IARc,5,29-1023.00,Orthodontists,Y
IWR,5,29-1299.02,Orthoptists,Y
IRA,5,29-2091.00,Orthotists and Prosthetists,Y
IRA,5,29-1024.00,Prosthodontists,
IARc,5,15-2041.00,Statisticians,Y
IARc,5,19-3022.00,Survey Researchers,Y
