Top Work Values,Job Zone,Code,Occupation,Featured
SRI,2,51-4192.00,"Layout Workers, Metal and Plastic",
SIW,2,53-3033.00,Light Truck Drivers,Y
SWR,2,47-5044.00,"Loading and Moving Machine Operators, Underground Mining",
SWR,2,53-4011.00,Locomotive Engineers,
SRW,2,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",
SRI,2,49-9095.00,Manufactured Building and Mobile Home Installers,
SRW,2,31-9093.00,Medical Equipment Preparers,Y
SIW,2,51-4051.00,Metal-Refining Furnace Operators and Tenders,
SWI,2,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",
SIW,2,49-9044.00,Millwrights,
SRI,2,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",
SRI,2,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",
SIA,2,39-3021.00,Motion Picture Projectionists,
SRW,2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",
SIW,2,17-3029.01,Non-Destructive Testing Specialists,
SRI,2,43-9071.00,"Office Machine Operators, Except Computer",
SRW,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators,
SIR,2,51-9083.00,Ophthalmic Laboratory Technicians,Y
SIW,2,43-4151.00,Order Clerks,
SRW,2,31-1132.00,Orderlies,
SRI,2,51-9111.00,Packaging and Filling Machine Operators and Tenders,
SIW,2,47-2141.00,"Painters, Construction and Maintenance",
SRI,2,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",
SRW,2,47-2142.00,Paperhangers,
SRI,2,33-3041.00,Parking Enforcement Workers,
SRI,2,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",Y
SIW,2,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",
SWI,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",
SIR,2,51-9151.00,Photographic Process Workers and Processing Machine Operators,
SRW,2,47-2072.00,Pile Driver Operators,
SRI,2,47-2151.00,Pipelayers,Y
SRW,2,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",
SRW,2,43-5051.00,Postal Service Clerks,
SRW,2,43-5052.00,Postal Service Mail Carriers,
SRW,2,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",
SRI,2,51-4052.00,"Pourers and Casters, Metal",
SRI,2,51-8013.00,Power Plant Operators,
SIA,2,51-5113.00,Print Binding and Finishing Workers,
SAI,2,51-5112.00,Printing Press Operators,
SIR,2,53-7072.00,"Pump Operators, Except Wellhead Pumpers",
SWI,2,49-3043.00,Rail Car Repairers,
SRI,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",
SRW,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,
SRW,2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",
SIW,2,53-4031.00,Railroad Conductors and Yardmasters,
SIW,2,49-3092.00,Recreational Vehicle Service Technicians,Y
SRW,2,53-7062.04,Recycling and Reclamation Workers,Y
SIR,2,49-9045.00,"Refractory Materials Repairers, Except Brickmasons",
SRW,2,53-7081.00,Refuse and Recyclable Material Collectors,
SRW,2,47-2171.00,Reinforcing Iron and Rebar Workers,
SRW,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",
SRW,2,47-5043.00,"Roof Bolters, Mining",
SIW,2,47-2181.00,Roofers,
SRW,2,47-5012.00,"Rotary Drill Operators, Oil and Gas",
SAR,2,53-5011.00,Sailors and Marine Oilers,
SIW,2,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",
SRW,2,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Y
SRI,2,33-9032.00,Security Guards,Y
SRI,2,47-4091.00,Segmental Pavers,
SRW,2,51-9141.00,Semiconductor Processing Technicians,
SWI,2,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",
SRI,2,47-5013.00,"Service Unit Operators, Oil and Gas",Y
SIR,2,47-2211.00,Sheet Metal Workers,
SAI,2,51-6041.00,Shoe and Leather Workers and Repairers,
SRI,2,51-3023.00,Slaughterers and Meat Packers,
SAW,2,47-2231.00,Solar Photovoltaic Installers,Y
SAW,2,51-9195.03,"Stone Cutters and Carvers, Manufacturing",
SRW,2,47-2221.00,Structural Iron and Steel Workers,Y
SRW,2,53-4041.00,Subway and Streetcar Operators,
SIR,2,53-7121.00,"Tank Car, Truck, and Ship Loaders",
SRW,2,51-2092.00,Team Assemblers,
SRI,2,49-9052.00,Telecommunications Line Installers and Repairers,
SRI,2,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,
SRW,2,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",
