Importance,Level,Job Zone,Code,Occupation
81,76,5,25-1054.00,"Physics Teachers, Postsecondary"
81,75,4,17-2051.01,Transportation Engineers
81,74,4,13-2031.00,Budget Analysts
81,73,5,23-1011.00,Lawyers
81,71,4,13-2023.00,Appraisers and Assessors of Real Estate
81,68,3,33-1012.00,First-Line Supervisors of Police and Detectives
81,57,2,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
80,85,5,19-3094.00,Political Scientists
80,82,5,19-2043.00,Hydrologists
80,80,4,17-2111.02,Fire-Prevention and Protection Engineers
80,79,5,25-1021.00,"Computer Science Teachers, Postsecondary"
80,79,5,11-9121.00,Natural Sciences Managers
80,78,4,17-2171.00,Petroleum Engineers
80,77,4,15-1241.00,Computer Network Architects
80,76,4,13-2011.00,Accountants and Auditors
80,76,5,19-3051.00,Urban and Regional Planners
80,75,3,53-2021.00,Air Traffic Controllers
80,75,5,29-1071.00,Physician Assistants
80,74,4,17-2112.03,Manufacturing Engineers
80,74,4,19-4099.03,Remote Sensing Technicians
80,73,3,29-2099.01,Neurodiagnostic Technologists
80,73,5,29-1081.00,Podiatrists
80,71,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
80,69,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
80,68,2,43-3021.00,Billing and Posting Clerks
80,68,5,19-3093.00,Historians
80,68,3,15-1241.01,Telecommunications Engineering Specialists
80,67,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
80,66,2,53-1042.01,Recycling Coordinators
80,64,2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
80,58,3,31-9094.00,Medical Transcriptionists
80,55,3,29-2051.00,Dietetic Technicians
80,51,2,33-3041.00,Parking Enforcement Workers
79,86,5,17-2199.09,Nanosystems Engineers
79,81,4,17-2199.07,Photonics Engineers
79,76,4,21-1091.00,Health Education Specialists
79,76,4,15-1299.09,Information Technology Project Managers
79,76,4,29-2011.00,Medical and Clinical Laboratory Technologists
79,75,5,15-2041.01,Biostatisticians
79,73,4,11-9199.02,Compliance Managers
79,70,4,13-2052.00,Personal Financial Advisors
79,69,3,33-3051.00,Police and Sheriff's Patrol Officers
79,68,5,29-2091.00,Orthotists and Prosthetists
79,66,5,29-1071.01,Anesthesiologist Assistants
79,66,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
79,66,3,33-1011.00,First-Line Supervisors of Correctional Officers
79,63,4,15-1299.03,Document Management Specialists
78,78,5,29-1216.00,General Internal Medicine Physicians
78,78,5,29-1229.05,Preventive Medicine Physicians
78,77,4,17-2199.08,Robotics Engineers
78,75,3,19-4012.00,Agricultural Technicians
78,75,4,17-1021.00,Cartographers and Photogrammetrists
78,75,5,29-1022.00,Oral and Maxillofacial Surgeons
78,74,3,15-1254.00,Web Developers
78,68,4,17-2141.00,Mechanical Engineers
78,67,4,13-1041.01,Environmental Compliance Inspectors
78,67,4,13-2053.00,Insurance Underwriters
78,64,2,43-5031.00,Public Safety Telecommunicators
78,58,2,43-4041.00,"Credit Authorizers, Checkers, and Clerks"
78,51,1,45-2091.00,Agricultural Equipment Operators
78,48,2,41-2021.00,Counter and Rental Clerks
77,86,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
77,83,5,25-1065.00,"Political Science Teachers, Postsecondary"
77,77,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
77,77,4,15-1211.01,Health Informatics Specialists
77,75,5,29-1141.04,Clinical Nurse Specialists
77,74,4,15-1212.00,Information Security Analysts
77,73,5,29-1161.00,Nurse Midwives
77,69,4,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
77,68,2,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
77,65,3,51-8012.00,Power Distributors and Dispatchers
77,64,3,33-3021.00,Detectives and Criminal Investigators
77,64,3,29-2052.00,Pharmacy Technicians
77,60,2,33-9032.00,Security Guards
77,58,2,43-9041.00,Insurance Claims and Policy Processing Clerks
77,56,3,43-4011.00,Brokerage Clerks
77,54,4,43-9081.00,Proofreaders and Copy Markers
77,51,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
77,51,4,27-1014.00,Special Effects Artists and Animators
76,82,4,17-2161.00,Nuclear Engineers
76,81,4,11-9121.02,Water Resource Specialists
76,76,5,11-9041.00,Architectural and Engineering Managers
76,76,5,11-1011.00,Chief Executives
76,76,4,17-2081.00,Environmental Engineers
76,75,5,19-2041.01,Climate Change Policy Analysts
76,74,3,19-4051.02,Nuclear Monitoring Technicians
76,73,4,17-2051.00,Civil Engineers
76,73,4,19-5011.00,Occupational Health and Safety Specialists
76,72,4,15-1253.00,Software Quality Assurance Analysts and Testers
76,72,4,13-1199.05,Sustainability Specialists
76,71,3,23-2011.00,Paralegals and Legal Assistants
76,71,4,19-3099.01,Transportation Planners
76,69,5,29-1021.00,"Dentists, General"
76,67,5,21-1023.00,Mental Health and Substance Abuse Social Workers
76,66,5,25-1031.00,"Architecture Teachers, Postsecondary"
76,66,4,29-1141.03,Critical Care Nurses
76,66,3,51-8021.00,Stationary Engineers and Boiler Operators
76,59,3,43-3061.00,Procurement Clerks
