Importance,Level,Job Zone,Code,Occupation
86,63,2,53-7062.04,Recycling and Reclamation Workers
86,60,2,43-4021.00,Correspondence Clerks
85,80,5,29-1217.00,Neurologists
85,78,4,11-3071.04,Supply Chain Managers
85,77,2,47-4051.00,Highway Maintenance Workers
85,77,4,19-3099.01,Transportation Planners
85,75,3,11-3051.06,Hydroelectric Production Managers
85,75,5,15-2031.00,Operations Research Analysts
85,75,2,33-3041.00,Parking Enforcement Workers
85,74,5,25-1042.00,"Biological Science Teachers, Postsecondary"
85,74,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
85,74,3,19-5012.00,Occupational Health and Safety Technicians
85,73,3,33-2021.00,Fire Inspectors and Investigators
85,73,2,31-9095.00,Pharmacy Aides
85,72,4,11-9179.01,Fitness and Wellness Coordinators
85,72,3,11-9179.02,Spa Managers
85,72,3,29-9093.00,Surgical Assistants
85,71,3,53-2022.00,Airfield Operations Specialists
85,71,5,19-2041.01,Climate Change Policy Analysts
85,71,3,29-1124.00,Radiation Therapists
85,71,4,17-2051.01,Transportation Engineers
85,70,5,25-4022.00,Librarians and Media Collections Specialists
85,70,3,19-4051.02,Nuclear Monitoring Technicians
85,69,3,33-3051.00,Police and Sheriff's Patrol Officers
85,69,3,15-1241.01,Telecommunications Engineering Specialists
85,68,4,13-1041.01,Environmental Compliance Inspectors
85,67,2,47-5013.00,"Service Unit Operators, Oil and Gas"
85,67,4,43-9111.00,Statistical Assistants
85,66,3,31-9097.00,Phlebotomists
85,65,3,33-3052.00,Transit and Railroad Police
85,63,4,39-9032.00,Recreation Workers
85,61,4,29-2011.01,Cytogenetic Technologists
85,61,2,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
85,61,2,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
85,56,3,31-2012.00,Occupational Therapy Aides
85,56,2,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
84,81,5,11-9033.00,"Education Administrators, Postsecondary"
84,78,5,19-1021.00,Biochemists and Biophysicists
84,78,5,19-3022.00,Survey Researchers
84,77,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
84,76,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
84,76,2,33-9099.02,Retail Loss Prevention Specialists
84,76,4,15-1255.01,Video Game Designers
84,75,4,11-3021.00,Computer and Information Systems Managers
84,75,4,41-9031.00,Sales Engineers
84,74,4,11-2022.00,Sales Managers
84,74,4,25-2057.00,"Special Education Teachers, Middle School"
84,74,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
84,74,4,11-9199.10,Wind Energy Development Managers
84,74,5,19-1023.00,Zoologists and Wildlife Biologists
84,73,4,13-1075.00,Labor Relations Specialists
84,73,3,49-9071.00,"Maintenance and Repair Workers, General"
84,73,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
84,72,4,15-2011.00,Actuaries
84,71,5,15-2041.01,Biostatisticians
84,71,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
84,71,3,29-2055.00,Surgical Technologists
84,70,3,33-3021.02,Police Identification and Records Officers
84,70,4,11-9141.00,"Property, Real Estate, and Community Association Managers"
84,70,5,29-1223.00,Psychiatrists
84,69,3,27-4012.00,Broadcast Technicians
84,69,4,27-1021.00,Commercial and Industrial Designers
84,69,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
84,69,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
84,69,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
84,68,4,13-1081.02,Logistics Analysts
84,65,2,53-1041.00,Aircraft Cargo Handling Supervisors
84,65,3,51-1011.00,First-Line Supervisors of Production and Operating Workers
84,60,3,19-4012.00,Agricultural Technicians
84,58,2,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
84,57,2,31-2022.00,Physical Therapist Aides
83,77,5,29-1229.01,Allergists and Immunologists
83,74,4,17-1022.01,Geodetic Surveyors
83,74,3,51-8011.00,Nuclear Power Reactor Operators
83,74,4,17-2112.02,Validation Engineers
83,73,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
83,73,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
83,72,4,15-1299.03,Document Management Specialists
83,72,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
83,72,4,17-1012.00,Landscape Architects
83,71,5,25-1081.00,"Education Teachers, Postsecondary"
83,71,4,17-2111.02,Fire-Prevention and Protection Engineers
