Importance,Level,Job Zone,Code,Occupation
87,70,3,51-8021.00,Stationary Engineers and Boiler Operators
87,69,3,49-3052.00,Motorcycle Mechanics
87,67,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
87,60,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
87,57,3,51-1011.00,First-Line Supervisors of Production and Operating Workers
86,83,5,11-9041.00,Architectural and Engineering Managers
86,83,4,17-2051.00,Civil Engineers
86,83,5,29-1024.00,Prosthodontists
86,81,4,15-1241.00,Computer Network Architects
86,80,4,17-2131.00,Materials Engineers
86,78,4,17-1022.01,Geodetic Surveyors
86,78,5,19-2043.00,Hydrologists
86,77,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
86,77,5,19-1029.03,Geneticists
86,77,5,29-1081.00,Podiatrists
86,77,3,51-8012.00,Power Distributors and Dispatchers
86,75,4,17-2041.00,Chemical Engineers
86,74,4,11-9021.00,Construction Managers
86,74,4,19-1031.02,Range Managers
86,73,4,11-9199.02,Compliance Managers
86,72,4,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
86,72,4,17-2112.02,Validation Engineers
86,71,4,15-1251.00,Computer Programmers
86,71,5,17-2199.06,Microsystems Engineers
86,71,4,19-5011.00,Occupational Health and Safety Specialists
86,70,4,19-1031.00,Conservation Scientists
86,70,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
86,69,2,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
86,66,4,11-3051.00,Industrial Production Managers
86,66,2,33-9032.00,Security Guards
86,64,4,11-1021.00,General and Operations Managers
86,64,4,21-1015.00,Rehabilitation Counselors
86,61,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
86,60,2,49-9099.01,Geothermal Technicians
85,81,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
85,79,4,15-1243.00,Database Architects
85,78,4,17-1012.00,Landscape Architects
85,77,5,17-1011.00,"Architects, Except Landscape and Naval"
85,76,4,15-1299.09,Information Technology Project Managers
85,76,5,11-9111.00,Medical and Health Services Managers
85,75,5,19-1029.04,Biologists
85,75,5,25-1021.00,"Computer Science Teachers, Postsecondary"
85,75,3,33-3051.04,Customs and Border Protection Officers
85,75,4,17-2071.00,Electrical Engineers
85,75,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
85,74,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
85,74,4,13-1131.00,Fundraisers
85,74,4,11-3071.04,Supply Chain Managers
85,73,5,25-9031.00,Instructional Coordinators
85,72,3,33-3011.00,Bailiffs
85,72,3,11-3051.02,Geothermal Production Managers
85,72,4,11-9081.00,Lodging Managers
85,72,5,29-1122.00,Occupational Therapists
85,71,4,11-3111.00,Compensation and Benefits Managers
85,71,4,17-2112.00,Industrial Engineers
85,70,5,25-1054.00,"Physics Teachers, Postsecondary"
85,69,3,19-5012.00,Occupational Health and Safety Technicians
85,67,4,27-1025.00,Interior Designers
85,67,5,29-1299.02,Orthoptists
85,66,4,17-2141.00,Mechanical Engineers
85,66,2,11-9131.00,Postmasters and Mail Superintendents
85,65,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
85,64,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
85,63,4,21-1021.00,"Child, Family, and School Social Workers"
85,62,3,47-2011.00,Boilermakers
85,59,4,27-1021.00,Commercial and Industrial Designers
85,57,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
84,84,5,19-2012.00,Physicists
84,80,5,29-9099.01,Midwives
84,79,5,19-1011.00,Animal Scientists
84,79,5,25-1042.00,"Biological Science Teachers, Postsecondary"
84,78,5,19-3011.00,Economists
84,78,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
84,76,5,29-1071.01,Anesthesiologist Assistants
84,76,4,19-1012.00,Food Scientists and Technologists
84,76,3,17-3027.00,Mechanical Engineering Technologists and Technicians
84,76,3,29-2012.00,Medical and Clinical Laboratory Technicians
84,75,3,53-2012.00,Commercial Pilots
84,75,5,29-1215.00,Family Medicine Physicians
84,75,4,21-1091.00,Health Education Specialists
84,74,5,25-1032.00,"Engineering Teachers, Postsecondary"
84,73,3,33-1011.00,First-Line Supervisors of Correctional Officers
84,72,4,13-1151.00,Training and Development Specialists
84,71,4,11-3051.03,Biofuels Production Managers
84,71,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
84,71,4,15-1299.01,Web Administrators
84,70,5,19-1029.02,Molecular and Cellular Biologists
84,70,2,51-5112.00,Printing Press Operators
84,70,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
84,69,3,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
84,69,3,41-9022.00,Real Estate Sales Agents
84,68,3,35-1011.00,Chefs and Head Cooks
84,68,4,27-2012.00,Producers and Directors
84,67,4,11-2021.00,Marketing Managers
84,65,3,29-2053.00,Psychiatric Technicians
84,59,3,29-2099.08,Patient Representatives
83,83,5,29-1213.00,Dermatologists
83,80,5,17-2199.09,Nanosystems Engineers
83,78,5,29-1011.00,Chiropractors
83,78,5,19-2041.02,Environmental Restoration Planners
83,77,4,27-2032.00,Choreographers
83,77,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
83,77,4,17-2111.02,Fire-Prevention and Protection Engineers
83,75,5,23-1022.00,"Arbitrators, Mediators, and Conciliators"
83,75,4,13-1081.01,Logistics Engineers
83,75,3,29-1124.00,Radiation Therapists
83,73,5,25-1081.00,"Education Teachers, Postsecondary"
83,73,3,43-4111.00,"Interviewers, Except Eligibility and Loan"
83,73,4,13-1081.00,Logisticians
83,73,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
83,73,4,21-1092.00,Probation Officers and Correctional Treatment Specialists
83,73,4,11-3061.00,Purchasing Managers
83,72,2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
83,71,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
83,71,3,33-3021.02,Police Identification and Records Officers
83,70,3,33-2021.00,Fire Inspectors and Investigators
83,70,3,19-4071.00,Forest and Conservation Technicians
83,70,5,27-1027.00,Set and Exhibit Designers
83,69,3,53-2022.00,Airfield Operations Specialists
83,69,4,15-1242.00,Database Administrators
83,69,3,39-4011.00,Embalmers
83,69,3,49-9062.00,Medical Equipment Repairers
83,68,4,15-1244.00,Network and Computer Systems Administrators
83,67,4,29-2011.00,Medical and Clinical Laboratory Technologists
83,65,4,19-4012.01,Precision Agriculture Technicians
83,63,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
83,62,3,33-9021.00,Private Detectives and Investigators
83,61,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
83,58,2,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
83,56,3,49-9081.00,Wind Turbine Service Technicians
83,55,4,27-2022.00,Coaches and Scouts
83,48,3,27-4031.00,"Camera Operators, Television, Video, and Film"
82,80,4,15-2099.01,Bioinformatics Technicians
82,78,5,19-1013.00,Soil and Plant Scientists
82,77,5,19-2041.01,Climate Change Policy Analysts
82,77,2,31-9093.00,Medical Equipment Preparers
82,76,4,19-2021.00,Atmospheric and Space Scientists
82,75,5,19-3033.00,Clinical and Counseling Psychologists
82,75,3,31-9092.00,Medical Assistants
82,75,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
82,74,3,53-6051.01,Aviation Inspectors
82,74,2,53-7071.00,Gas Compressor and Gas Pumping Station Operators
82,73,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
82,73,3,11-3051.06,Hydroelectric Production Managers
82,72,3,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
82,70,4,17-2121.00,Marine Engineers and Naval Architects
82,70,4,13-1199.05,Sustainability Specialists
82,69,4,27-1011.00,Art Directors
82,68,3,11-9071.00,Gambling Managers
82,67,3,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
82,67,4,13-1081.02,Logistics Analysts
82,67,3,51-8031.00,Water and Wastewater Treatment Plant and System Operators
82,65,3,19-4031.00,Chemical Technicians
82,65,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
82,65,4,15-1253.00,Software Quality Assurance Analysts and Testers
82,64,2,33-9011.00,Animal Control Workers
82,63,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
82,61,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
82,61,2,49-9051.00,Electrical Power-Line Installers and Repairers
82,56,3,51-9162.00,Computer Numerically Controlled Tool Programmers
82,55,2,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
81,80,5,25-1066.00,"Psychology Teachers, Postsecondary"
81,78,5,15-2041.00,Statisticians
81,77,5,15-2041.01,Biostatisticians
81,77,4,33-3021.06,Intelligence Analysts
81,75,5,25-1122.00,"Communications Teachers, Postsecondary"
81,75,4,13-2061.00,Financial Examiners
81,75,5,29-1023.00,Orthodontists
81,75,2,33-9099.02,Retail Loss Prevention Specialists
81,74,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
81,73,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
81,73,5,17-2112.01,Human Factors Engineers and Ergonomists
81,71,5,29-1291.00,Acupuncturists
81,71,2,47-5081.00,Helpers--Extraction Workers
81,71,3,15-1254.00,Web Developers
81,70,4,13-1041.07,Regulatory Affairs Specialists
81,69,4,27-3031.00,Public Relations Specialists
81,69,2,53-5011.00,Sailors and Marine Oilers
81,68,4,17-2072.00,"Electronics Engineers, Except Computer"
81,68,3,13-1041.04,Government Property Inspectors and Investigators
81,67,3,11-3012.00,Administrative Services Managers
81,67,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
81,67,5,21-1022.00,Healthcare Social Workers
81,67,3,31-9097.00,Phlebotomists
81,66,4,13-1199.04,Business Continuity Planners
81,66,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
81,66,3,29-2099.01,Neurodiagnostic Technologists
81,66,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
81,66,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
81,64,3,29-2081.00,"Opticians, Dispensing"
81,63,2,51-9011.00,Chemical Equipment Operators and Tenders
81,62,2,51-8099.01,Biofuels Processing Technicians
81,62,2,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
81,60,4,17-1021.00,Cartographers and Photogrammetrists
81,57,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
81,56,2,53-2031.00,Flight Attendants
81,55,2,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
81,51,3,39-6012.00,Concierges
80,78,3,29-1141.01,Acute Care Nurses
80,77,5,25-1082.00,"Library Science Teachers, Postsecondary"
80,74,4,13-1041.03,Equal Opportunity Representatives and Officers
80,74,5,19-3022.00,Survey Researchers
80,73,4,11-3051.04,Biomass Power Plant Managers
80,73,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
80,72,2,53-1041.00,Aircraft Cargo Handling Supervisors
80,72,5,25-1031.00,"Architecture Teachers, Postsecondary"
80,71,2,39-2011.00,Animal Trainers
80,71,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses
80,71,3,51-8011.00,Nuclear Power Reactor Operators
80,70,5,29-1129.01,Art Therapists
80,70,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
80,69,3,29-1126.00,Respiratory Therapists
80,69,4,41-9031.00,Sales Engineers
80,69,3,11-9179.02,Spa Managers
80,69,4,11-3131.00,Training and Development Managers
80,68,4,13-2023.00,Appraisers and Assessors of Real Estate
80,67,5,25-1113.00,"Social Work Teachers, Postsecondary"
80,65,5,29-1051.00,Pharmacists
80,61,4,13-1071.00,Human Resources Specialists
80,60,3,49-3023.00,Automotive Service Technicians and Mechanics
80,60,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
80,59,2,43-9021.00,Data Entry Keyers
80,59,3,49-9063.00,Musical Instrument Repairers and Tuners
80,59,4,39-9032.00,Recreation Workers
80,56,3,49-9041.00,Industrial Machinery Mechanics
80,36,3,29-2051.00,Dietetic Technicians
79,82,3,27-1022.00,Fashion Designers
79,74,5,19-3091.00,Anthropologists and Archeologists
79,74,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
79,73,5,19-1023.00,Zoologists and Wildlife Biologists
79,72,4,13-2011.00,Accountants and Auditors
79,71,3,13-1041.06,Coroners
79,70,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
79,70,3,51-7032.00,"Patternmakers, Wood"
79,69,4,15-1299.02,Geographic Information Systems Technologists and Technicians
79,69,4,15-1211.01,Health Informatics Specialists
79,69,3,17-3026.00,Industrial Engineering Technologists and Technicians
79,69,2,49-9044.00,Millwrights
79,68,3,49-3011.00,Aircraft Mechanics and Service Technicians
79,68,3,45-4011.00,Forest and Conservation Workers
79,67,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
79,66,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
79,66,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
79,66,4,17-3026.01,Nanotechnology Engineering Technologists and Technicians
79,65,3,49-2091.00,Avionics Technicians
79,65,4,15-2051.02,Clinical Data Managers
79,64,3,33-2011.00,Firefighters
79,64,3,19-4013.00,Food Science Technicians
79,64,3,17-3024.01,Robotics Technicians
79,63,3,49-9092.00,Commercial Divers
79,62,4,29-1129.02,Music Therapists
79,61,2,47-2061.00,Construction Laborers
79,60,4,27-1024.00,Graphic Designers
79,60,3,51-5111.00,Prepress Technicians and Workers
79,55,3,27-4011.00,Audio and Video Technicians
79,51,2,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
78,74,4,53-6051.00,Transportation Inspectors
78,70,2,47-5041.00,Continuous Mining Machine Operators
78,70,5,25-9021.00,Farm and Home Management Educators
78,70,2,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
78,69,4,25-2058.00,"Special Education Teachers, Secondary School"
78,68,4,15-1211.00,Computer Systems Analysts
78,68,5,19-1022.00,Microbiologists
78,68,5,19-2099.01,Remote Sensing Scientists and Technologists
78,67,2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
78,67,5,29-9092.00,Genetic Counselors
78,66,5,29-1127.00,Speech-Language Pathologists
