Importance,Level,Job Zone,Code,Occupation
80,69,4,21-1021.00,"Child, Family, and School Social Workers"
80,68,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses
80,63,3,19-4031.00,Chemical Technicians
80,61,3,43-4061.00,"Eligibility Interviewers, Government Programs"
79,85,5,25-1067.00,"Sociology Teachers, Postsecondary"
79,82,4,11-3121.00,Human Resources Managers
79,82,5,19-3022.00,Survey Researchers
79,80,5,11-9041.00,Architectural and Engineering Managers
79,80,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
79,79,4,11-2011.00,Advertising and Promotions Managers
79,78,5,19-1029.03,Geneticists
79,78,5,19-3032.00,Industrial-Organizational Psychologists
79,77,4,15-2051.02,Clinical Data Managers
79,77,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
79,76,4,13-2011.00,Accountants and Auditors
79,76,3,11-3051.06,Hydroelectric Production Managers
79,76,4,39-9032.00,Recreation Workers
79,75,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
79,75,4,15-1299.08,Computer Systems Engineers/Architects
79,75,5,29-1122.00,Occupational Therapists
79,73,3,41-4011.07,Solar Sales Representatives and Assessors
79,72,5,21-1022.00,Healthcare Social Workers
79,72,5,21-1014.00,Mental Health Counselors
79,72,3,31-9097.00,Phlebotomists
79,71,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
79,71,2,11-9131.00,Postmasters and Mail Superintendents
79,71,2,51-5112.00,Printing Press Operators
79,71,3,29-1126.00,Respiratory Therapists
79,62,2,43-4021.00,Correspondence Clerks
79,47,2,47-2061.00,Construction Laborers
78,80,5,25-1066.00,"Psychology Teachers, Postsecondary"
78,80,4,19-3099.01,Transportation Planners
78,80,4,11-3031.01,Treasurers and Controllers
78,79,4,13-1041.03,Equal Opportunity Representatives and Officers
78,79,3,13-1041.04,Government Property Inspectors and Investigators
78,78,4,15-2051.01,Business Intelligence Analysts
78,78,5,21-2011.00,Clergy
78,78,5,29-1217.00,Neurologists
78,77,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
78,76,3,53-6051.01,Aviation Inspectors
78,76,5,19-1021.00,Biochemists and Biophysicists
78,76,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
78,75,5,17-1011.00,"Architects, Except Landscape and Naval"
78,74,3,39-1022.00,First-Line Supervisors of Personal Service Workers
78,74,2,33-9099.02,Retail Loss Prevention Specialists
78,73,4,21-1015.00,Rehabilitation Counselors
78,72,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
78,68,4,29-2011.00,Medical and Clinical Laboratory Technologists
78,67,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
78,67,3,27-1026.00,Merchandise Displayers and Window Trimmers
78,65,3,49-9081.00,Wind Turbine Service Technicians
78,63,2,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
77,81,5,19-2041.02,Environmental Restoration Planners
77,80,4,17-2141.02,Automotive Engineers
77,79,4,13-1199.04,Business Continuity Planners
77,78,5,29-1229.01,Allergists and Immunologists
77,78,5,19-1011.00,Animal Scientists
77,78,3,33-3021.02,Police Identification and Records Officers
77,77,5,29-1129.01,Art Therapists
77,77,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
77,76,4,15-1244.00,Network and Computer Systems Administrators
77,76,4,27-2012.00,Producers and Directors
77,76,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
77,75,5,19-1029.02,Molecular and Cellular Biologists
77,74,4,13-2061.00,Financial Examiners
77,74,3,19-4071.00,Forest and Conservation Technicians
77,73,5,19-2041.01,Climate Change Policy Analysts
77,73,5,29-1229.02,Hospitalists
77,73,3,49-9071.00,"Maintenance and Repair Workers, General"
77,73,4,13-2052.00,Personal Financial Advisors
77,73,5,29-1071.00,Physician Assistants
77,73,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
77,72,3,29-2099.08,Patient Representatives
77,72,5,25-1054.00,"Physics Teachers, Postsecondary"
77,71,3,33-1011.00,First-Line Supervisors of Correctional Officers
77,69,5,21-1013.00,Marriage and Family Therapists
77,69,5,25-2051.00,"Special Education Teachers, Preschool"
77,65,3,13-1032.00,"Insurance Appraisers, Auto Damage"
77,56,3,29-2051.00,Dietetic Technicians
76,81,5,19-1023.00,Zoologists and Wildlife Biologists
76,78,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
76,78,4,11-9141.00,"Property, Real Estate, and Community Association Managers"
76,78,4,11-3071.04,Supply Chain Managers
76,77,4,11-9199.08,Loss Prevention Managers
76,77,5,29-1229.05,Preventive Medicine Physicians
76,76,4,13-1041.07,Regulatory Affairs Specialists
76,75,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
76,75,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
76,75,5,29-1171.00,Nurse Practitioners
76,74,5,25-1082.00,"Library Science Teachers, Postsecondary"
76,74,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
76,74,4,11-3061.00,Purchasing Managers
76,74,5,29-1127.00,Speech-Language Pathologists
76,73,4,11-1021.00,General and Operations Managers
76,72,4,27-4032.00,Film and Video Editors
76,72,3,27-4021.00,Photographers
76,71,3,27-4011.00,Audio and Video Technicians
76,71,4,15-1242.00,Database Administrators
76,71,5,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
76,71,4,19-1031.02,Range Managers
76,70,2,49-9044.00,Millwrights
76,70,5,29-1222.00,"Physicians, Pathologists"
76,69,3,31-9099.02,Endoscopy Technicians
76,69,3,43-5061.00,"Production, Planning, and Expediting Clerks"
76,68,2,49-9099.01,Geothermal Technicians
76,67,4,13-2053.00,Insurance Underwriters
76,66,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
76,66,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
76,66,5,29-9092.00,Genetic Counselors
76,66,2,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
76,64,3,31-2011.00,Occupational Therapy Assistants
76,64,2,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
76,63,3,19-4013.00,Food Science Technicians
76,63,2,43-5031.00,Public Safety Telecommunicators
75,78,5,19-1013.00,Soil and Plant Scientists
75,77,4,33-3031.00,Fish and Game Wardens
75,76,4,17-2011.00,Aerospace Engineers
75,76,4,17-2051.01,Transportation Engineers
75,75,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
75,73,5,29-1218.00,Obstetricians and Gynecologists
75,72,5,29-9091.00,Athletic Trainers
75,72,4,27-3043.05,"Poets, Lyricists and Creative Writers"
75,71,4,41-9031.00,Sales Engineers
