Importance,Job Zone,Code,Occupation
87,5,29-1141.04,Clinical Nurse Specialists
87,4,13-1041.03,Equal Opportunity Representatives and Officers
87,4,19-4092.00,Forensic Science Technicians
87,5,17-2141.01,Fuel Cell Engineers
87,5,19-3092.00,Geographers
87,5,17-2112.01,Human Factors Engineers and Ergonomists
87,5,29-1217.00,Neurologists
87,5,29-1241.00,"Ophthalmologists, Except Pediatric"
87,4,17-2171.00,Petroleum Engineers
87,5,19-2012.00,Physicists
87,5,25-1054.00,"Physics Teachers, Postsecondary"
87,4,17-1022.00,Surveyors
87,4,15-1255.01,Video Game Designers
86,4,13-2011.00,Accountants and Auditors
86,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
86,5,11-1011.00,Chief Executives
86,4,17-2071.00,Electrical Engineers
86,4,15-1212.00,Information Security Analysts
86,4,13-1081.02,Logistics Analysts
86,4,17-2112.03,Manufacturing Engineers
86,3,29-2012.00,Medical and Clinical Laboratory Technicians
86,5,29-1218.00,Obstetricians and Gynecologists
86,5,29-1023.00,Orthodontists
86,3,29-1126.00,Respiratory Therapists
86,4,43-9111.00,Statistical Assistants
86,4,11-9121.02,Water Resource Specialists
85,5,25-1042.00,"Biological Science Teachers, Postsecondary"
85,5,19-1029.04,Biologists
85,3,43-4011.00,Brokerage Clerks
85,4,19-2031.00,Chemists
85,4,17-2051.00,Civil Engineers
85,5,19-3033.00,Clinical and Counseling Psychologists
85,5,25-1021.00,"Computer Science Teachers, Postsecondary"
85,3,15-1232.00,Computer User Support Specialists
85,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
85,3,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
85,5,25-1064.00,"Geography Teachers, Postsecondary"
85,3,11-3051.02,Geothermal Production Managers
85,2,49-9099.01,Geothermal Technicians
85,4,15-1299.09,Information Technology Project Managers
85,4,17-2121.00,Marine Engineers and Naval Architects
85,4,27-2012.03,Media Programming Directors
85,5,29-1171.00,Nurse Practitioners
85,5,29-1223.00,Psychiatrists
85,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
85,3,19-4099.01,Quality Control Analysts
85,4,17-2072.01,Radio Frequency Identification Device Specialists
85,5,19-1013.00,Soil and Plant Scientists
85,3,47-2152.04,Solar Thermal Installers and Technicians
85,3,31-9099.01,Speech-Language Pathology Assistants
85,3,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
85,5,19-3051.00,Urban and Regional Planners
84,3,19-4012.00,Agricultural Technicians
84,4,17-2031.00,Bioengineers and Biomedical Engineers
84,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
84,5,29-1213.00,Dermatologists
84,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
84,5,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
84,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
84,3,29-2092.00,Hearing Aid Specialists
84,5,29-1229.02,Hospitalists
84,5,25-1082.00,"Library Science Teachers, Postsecondary"
84,3,17-3013.00,Mechanical Drafters
84,4,17-2199.05,Mechatronics Engineers
84,3,51-4061.00,"Model Makers, Metal and Plastic"
84,4,17-3026.01,Nanotechnology Engineering Technologists and Technicians
84,3,19-5012.00,Occupational Health and Safety Technicians
84,5,29-2091.00,Orthotists and Prosthetists
84,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
84,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
84,5,19-3034.00,School Psychologists
84,5,29-1229.06,Sports Medicine Physicians
83,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
83,3,13-1041.06,Coroners
83,4,13-2071.00,Credit Counselors
83,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
83,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
83,3,47-4011.01,Energy Auditors
83,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
83,3,17-3026.00,Industrial Engineering Technologists and Technicians
