Context,Job Zone,Code,Occupation
84,5,29-1171.00,Nurse Practitioners
84,2,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
84,4,27-2012.00,Producers and Directors
84,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
84,2,39-5093.00,Shampooers
84,3,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
84,4,53-6051.00,Transportation Inspectors
83,4,13-2011.00,Accountants and Auditors
83,2,33-9011.00,Animal Control Workers
83,4,11-3051.04,Biomass Power Plant Managers
83,2,51-3021.00,Butchers and Meat Cutters
83,4,29-1141.03,Critical Care Nurses
83,3,29-1292.00,Dental Hygienists
83,5,29-1213.00,Dermatologists
83,4,21-2021.00,"Directors, Religious Activities and Education"
83,3,43-4061.00,"Eligibility Interviewers, Government Programs"
83,4,17-2111.02,Fire-Prevention and Protection Engineers
83,3,29-2092.00,Hearing Aid Specialists
83,4,11-3121.00,Human Resources Managers
83,2,47-2132.00,"Insulation Workers, Mechanical"
83,2,49-9095.00,Manufactured Building and Mobile Home Installers
83,4,27-2012.05,Media Technical Directors/Managers
83,4,13-1121.00,"Meeting, Convention, and Event Planners"
83,4,19-5011.00,Occupational Health and Safety Specialists
83,5,29-1041.00,Optometrists
83,5,29-1081.00,Podiatrists
83,3,29-1124.00,Radiation Therapists
83,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
83,2,23-2093.00,"Title Examiners, Abstractors, and Searchers"
83,2,37-3013.00,Tree Trimmers and Pruners
82,4,27-1011.00,Art Directors
82,5,29-9091.00,Athletic Trainers
82,3,29-2031.00,Cardiovascular Technologists and Technicians
82,5,19-3033.00,Clinical and Counseling Psychologists
82,4,27-1021.00,Commercial and Industrial Designers
82,4,11-9199.02,Compliance Managers
82,4,11-9161.00,Emergency Management Directors
82,4,13-1041.03,Equal Opportunity Representatives and Officers
82,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
82,1,45-4021.00,Fallers
82,4,11-3051.00,Industrial Production Managers
82,5,19-3032.00,Industrial-Organizational Psychologists
82,4,19-1031.03,Park Naturalists
82,5,29-1229.05,Preventive Medicine Physicians
82,2,43-5031.00,Public Safety Telecommunicators
82,2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
82,4,29-1141.00,Registered Nurses
81,5,29-1141.02,Advanced Practice Psychiatric Nurses
81,2,53-3052.00,"Bus Drivers, Transit and Intercity"
81,3,33-2011.00,Firefighters
81,3,19-4071.00,Forest and Conservation Technicians
81,3,11-9171.00,Funeral Home Managers
81,2,41-2012.00,Gambling Change Persons and Booth Cashiers
81,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
81,3,51-7031.00,"Model Makers, Wood"
81,5,29-1299.01,Naturopathic Physicians
81,4,17-2161.00,Nuclear Engineers
81,3,29-2033.00,Nuclear Medicine Technologists
81,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
81,3,19-5012.00,Occupational Health and Safety Technicians
81,4,13-2052.00,Personal Financial Advisors
81,3,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
81,2,33-9032.00,Security Guards
81,3,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
80,4,41-3011.00,Advertising Sales Agents
80,2,45-2011.00,Agricultural Inspectors
80,2,27-2021.00,Athletes and Sports Competitors
80,4,13-2031.00,Budget Analysts
80,4,17-2041.00,Chemical Engineers
80,1,53-7011.00,Conveyor Operators and Tenders
80,1,47-5011.00,"Derrick Operators, Oil and Gas"
80,3,47-4021.00,Elevator and Escalator Installers and Repairers
80,2,13-1074.00,Farm Labor Contractors
80,3,51-1011.00,First-Line Supervisors of Production and Operating Workers
80,2,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
80,2,43-3041.00,Gambling Cage Workers
80,5,29-1216.00,General Internal Medicine Physicians
80,4,13-1071.00,Human Resources Specialists
80,3,17-3026.00,Industrial Engineering Technologists and Technicians
80,2,53-7051.00,Industrial Truck and Tractor Operators
80,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses
80,2,45-4023.00,Log Graders and Scalers
80,4,11-9199.08,Loss Prevention Managers
80,2,37-2021.00,Pest Control Workers
80,2,47-2072.00,Pile Driver Operators
80,4,21-1092.00,Probation Officers and Correctional Treatment Specialists
80,2,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
80,2,53-4041.00,Subway and Streetcar Operators
80,4,11-3031.01,Treasurers and Controllers
79,5,11-9041.00,Architectural and Engineering Managers
79,5,29-1181.00,Audiologists
79,3,49-2091.00,Avionics Technicians
79,2,43-3011.00,Bill and Account Collectors
79,5,19-1029.04,Biologists
79,3,27-4012.00,Broadcast Technicians
79,3,39-6012.00,Concierges
79,4,27-3041.00,Editors
79,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
79,3,39-1022.00,First-Line Supervisors of Personal Service Workers
79,2,11-9051.00,Food Service Managers
79,2,43-5011.01,Freight Forwarders
79,2,39-4021.00,Funeral Attendants
79,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
79,4,27-3091.00,Interpreters and Translators
79,3,43-4111.00,"Interviewers, Except Eligibility and Loan"
79,4,11-2021.00,Marketing Managers
79,5,29-1122.00,Occupational Therapists
79,3,31-2011.00,Occupational Therapy Assistants
79,5,15-2031.00,Operations Research Analysts
79,2,31-1132.00,Orderlies
79,2,11-9131.00,Postmasters and Mail Superintendents
79,3,51-9195.05,"Potters, Manufacturing"
79,5,29-1223.00,Psychiatrists
79,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
79,2,33-9099.02,Retail Loss Prevention Specialists
79,4,41-9031.00,Sales Engineers
79,3,47-1011.03,Solar Energy Installation Managers
79,3,47-2152.04,Solar Thermal Installers and Technicians
79,3,51-2041.00,Structural Metal Fabricators and Fitters
79,2,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
79,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
79,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
79,2,43-3071.00,Tellers
