Context,Job Zone,Code,Occupation
87,5,11-3031.03,Investment Fund Managers
87,2,49-9095.00,Manufactured Building and Mobile Home Installers
87,2,49-9044.00,Millwrights
87,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
87,3,49-3051.00,Motorboat Mechanics and Service Technicians
87,3,29-2033.00,Nuclear Medicine Technologists
87,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
87,3,41-4011.07,Solar Sales Representatives and Assessors
87,2,37-3013.00,Tree Trimmers and Pruners
86,5,29-1181.00,Audiologists
86,3,49-3023.00,Automotive Service Technicians and Mechanics
86,5,19-3033.00,Clinical and Counseling Psychologists
86,4,13-2071.00,Credit Counselors
86,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
86,2,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
86,2,49-9031.00,Home Appliance Repairers
86,3,11-3051.06,Hydroelectric Production Managers
86,4,11-3051.00,Industrial Production Managers
86,3,51-7031.00,"Model Makers, Wood"
86,5,29-1299.01,Naturopathic Physicians
86,3,29-2057.00,Ophthalmic Medical Technicians
86,2,31-1132.00,Orderlies
86,2,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
86,3,33-3021.02,Police Identification and Records Officers
86,5,29-1223.00,Psychiatrists
86,3,33-3052.00,Transit and Railroad Police
86,3,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
85,3,53-2022.00,Airfield Operations Specialists
85,3,35-1011.00,Chefs and Head Cooks
85,3,53-2012.00,Commercial Pilots
85,3,33-3021.00,Detectives and Criminal Investigators
85,5,29-1216.00,General Internal Medicine Physicians
85,3,13-1041.04,Government Property Inspectors and Investigators
85,2,47-2132.00,"Insulation Workers, Mechanical"
85,3,51-9082.00,Medical Appliance Technicians
85,2,37-2021.00,Pest Control Workers
85,4,27-2012.00,Producers and Directors
85,2,53-1042.01,Recycling Coordinators
85,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
85,2,23-2093.00,"Title Examiners, Abstractors, and Searchers"
85,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
85,3,11-9199.09,Wind Energy Operations Managers
84,5,29-1141.02,Advanced Practice Psychiatric Nurses
84,2,33-9011.00,Animal Control Workers
84,3,29-1292.00,Dental Hygienists
84,4,21-2021.00,"Directors, Religious Activities and Education"
84,2,49-9099.01,Geothermal Technicians
84,2,53-4011.00,Locomotive Engineers
84,4,27-2012.03,Media Programming Directors
84,2,53-5022.00,Motorboat Operators
84,4,27-3023.00,"News Analysts, Reporters, and Journalists"
84,5,29-1122.00,Occupational Therapists
84,4,19-1031.03,Park Naturalists
84,3,41-9022.00,Real Estate Sales Agents
84,3,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
84,2,53-7073.00,Wellhead Pumpers
84,3,49-9081.00,Wind Turbine Service Technicians
83,4,11-2011.00,Advertising and Promotions Managers
83,4,41-3011.00,Advertising Sales Agents
83,2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
83,3,29-2031.00,Cardiovascular Technologists and Technicians
83,2,47-2031.00,Carpenters
83,4,11-9021.00,Construction Managers
83,4,27-3041.00,Editors
83,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
83,3,47-4021.00,Elevator and Escalator Installers and Repairers
83,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
83,3,39-1022.00,First-Line Supervisors of Personal Service Workers
83,4,19-4092.00,Forensic Science Technicians
83,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
83,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
83,2,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
83,4,13-2053.00,Insurance Underwriters
83,2,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
83,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses
83,3,31-9011.00,Massage Therapists
83,4,11-3051.01,Quality Control Systems Managers
83,2,53-4031.00,Railroad Conductors and Yardmasters
83,1,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
83,5,25-2051.00,"Special Education Teachers, Preschool"
83,4,27-1014.00,Special Effects Artists and Animators
83,2,53-4041.00,Subway and Streetcar Operators
83,2,43-3071.00,Tellers
82,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
82,2,43-3011.00,Bill and Account Collectors
82,2,53-3052.00,"Bus Drivers, Transit and Intercity"
82,3,29-2032.00,Diagnostic Medical Sonographers
82,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
82,1,45-4021.00,Fallers
82,5,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
82,3,33-2021.00,Fire Inspectors and Investigators
82,2,47-2121.00,Glaziers
82,2,53-7051.00,Industrial Truck and Tractor Operators
82,2,49-9094.00,Locksmiths and Safe Repairers
82,3,29-2035.00,Magnetic Resonance Imaging Technologists
82,3,51-4061.00,"Model Makers, Metal and Plastic"
82,3,51-8011.00,Nuclear Power Reactor Operators
82,3,19-4051.00,Nuclear Technicians
