Importance,Job Zone,Code,Occupation
85,3,29-2056.00,Veterinary Technologists and Technicians
84,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
84,5,29-1229.01,Allergists and Immunologists
84,5,29-1211.00,Anesthesiologists
84,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
84,3,27-4011.00,Audio and Video Technicians
84,2,33-3012.00,Correctional Officers and Jailers
84,3,31-9091.00,Dental Assistants
84,4,27-3041.00,Editors
84,5,11-9033.00,"Education Administrators, Postsecondary"
84,3,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
84,3,31-9099.02,Endoscopy Technicians
84,3,51-6092.00,Fabric and Apparel Patternmakers
84,2,35-3041.00,"Food Servers, Nonrestaurant"
84,4,19-4092.00,Forensic Science Technicians
84,3,19-4071.00,Forest and Conservation Technicians
84,3,11-9171.00,Funeral Home Managers
84,5,29-1216.00,General Internal Medicine Physicians
84,3,13-1041.04,Government Property Inspectors and Investigators
84,4,11-3051.00,Industrial Production Managers
84,5,25-4022.00,Librarians and Media Collections Specialists
84,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses
84,4,11-9199.08,Loss Prevention Managers
84,5,11-9111.00,Medical and Health Services Managers
84,5,29-1217.00,Neurologists
84,4,19-5011.00,Occupational Health and Safety Specialists
84,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
84,4,19-1031.03,Park Naturalists
84,4,27-2012.00,Producers and Directors
84,5,25-1066.00,"Psychology Teachers, Postsecondary"
84,3,29-2034.00,Radiologic Technologists and Technicians
84,4,39-9032.00,Recreation Workers
84,2,53-1042.01,Recycling Coordinators
84,4,29-1141.00,Registered Nurses
84,4,21-1015.00,Rehabilitation Counselors
84,4,21-1093.00,Social and Human Service Assistants
84,4,19-4061.00,Social Science Research Assistants
84,5,29-1229.06,Sports Medicine Physicians
84,3,29-2055.00,Surgical Technologists
84,3,33-3052.00,Transit and Railroad Police
84,3,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
84,4,17-2199.10,Wind Energy Engineers
83,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
83,2,53-1041.00,Aircraft Cargo Handling Supervisors
83,5,19-1029.01,Bioinformatics Scientists
83,2,43-5011.00,Cargo and Freight Agents
83,3,49-9092.00,Commercial Divers
83,4,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
83,4,15-1231.00,Computer Network Support Specialists
83,4,15-1299.08,Computer Systems Engineers/Architects
83,3,13-1041.06,Coroners
83,3,27-2031.00,Dancers
83,3,33-3021.00,Detectives and Criminal Investigators
83,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
83,4,11-3031.00,Financial Managers
83,4,21-1091.00,Health Education Specialists
83,5,29-1229.02,Hospitalists
83,4,11-3121.00,Human Resources Managers
83,4,27-1025.00,Interior Designers
83,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
83,4,11-2021.00,Marketing Managers
83,2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
83,5,11-9121.00,Natural Sciences Managers
83,5,29-1051.00,Pharmacists
83,3,43-3061.00,Procurement Clerks
83,4,11-9141.00,"Property, Real Estate, and Community Association Managers"
83,5,25-1113.00,"Social Work Teachers, Postsecondary"
83,4,15-1253.00,Software Quality Assurance Analysts and Testers
83,3,39-7011.00,Tour Guides and Escorts
83,2,33-9093.00,Transportation Security Screeners
83,4,15-1255.01,Video Game Designers
82,2,39-2021.00,Animal Caretakers
82,5,19-3091.00,Anthropologists and Archeologists
82,5,29-9091.00,Athletic Trainers
82,3,53-6051.01,Aviation Inspectors
82,5,25-1042.00,"Biological Science Teachers, Postsecondary"
82,5,25-1052.00,"Chemistry Teachers, Postsecondary"
82,5,19-3033.00,Clinical and Counseling Psychologists
82,4,27-2022.00,Coaches and Scouts
82,2,35-2012.00,"Cooks, Institution and Cafeteria"
82,2,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
82,3,39-1022.00,First-Line Supervisors of Personal Service Workers
82,3,19-4013.00,Food Science Technicians
82,4,17-2112.00,Industrial Engineers
82,4,13-1161.00,Market Research Analysts and Marketing Specialists
82,3,43-4141.00,New Accounts Clerks
82,3,33-3021.02,Police Identification and Records Officers
82,4,27-3031.00,Public Relations Specialists
82,2,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
82,2,33-9099.02,Retail Loss Prevention Specialists
82,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
82,4,13-1161.01,Search Marketing Strategists
82,2,51-6042.00,Shoe Machine Operators and Tenders
82,4,53-6051.00,Transportation Inspectors
81,5,19-1021.00,Biochemists and Biophysicists
81,3,29-2031.00,Cardiovascular Technologists and Technicians
81,5,25-1021.00,"Computer Science Teachers, Postsecondary"
81,3,33-3051.04,Customs and Border Protection Officers
81,5,29-1213.00,Dermatologists
81,3,43-4061.00,"Eligibility Interviewers, Government Programs"
81,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
81,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
81,2,49-9099.01,Geothermal Technicians
81,3,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
81,4,15-1211.01,Health Informatics Specialists
81,4,15-1212.00,Information Security Analysts
81,2,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
81,5,23-1011.00,Lawyers
81,4,17-2141.00,Mechanical Engineers
81,4,29-2011.00,Medical and Clinical Laboratory Technologists
81,2,31-9093.00,Medical Equipment Preparers
81,2,49-9044.00,Millwrights
81,4,27-3023.00,"News Analysts, Reporters, and Journalists"
81,3,27-4021.00,Photographers
81,5,29-1223.00,Psychiatrists
81,2,43-5031.00,Public Safety Telecommunicators
81,4,27-2012.04,Talent Directors
81,3,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
81,3,39-7012.00,Travel Guides
81,2,27-2023.00,"Umpires, Referees, and Other Sports Officials"
80,3,11-3012.00,Administrative Services Managers
80,4,13-1199.04,Business Continuity Planners
80,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
80,5,11-1011.00,Chief Executives
80,4,21-1021.00,"Child, Family, and School Social Workers"
80,4,11-3021.00,Computer and Information Systems Managers
80,4,21-2021.00,"Directors, Religious Activities and Education"
80,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
80,5,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
80,1,35-3023.00,Fast Food and Counter Workers
80,3,33-2021.00,Fire Inspectors and Investigators
80,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
80,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
80,2,31-1121.00,Home Health Aides
80,5,17-2112.01,Human Factors Engineers and Ergonomists
80,4,17-1012.00,Landscape Architects
80,2,49-9094.00,Locksmiths and Safe Repairers
80,5,21-1013.00,Marriage and Family Therapists
80,3,29-2012.00,Medical and Clinical Laboratory Technicians
80,4,27-2041.00,Music Directors and Composers
80,4,21-1092.00,Probation Officers and Correctional Treatment Specialists
80,3,41-9022.00,Real Estate Sales Agents
80,4,11-9199.01,Regulatory Affairs Managers
80,3,49-2098.00,Security and Fire Alarm Systems Installers
80,2,41-9041.00,Telemarketers
80,3,53-6041.00,Traffic Technicians
80,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
80,4,27-3043.00,Writers and Authors
79,3,19-4012.00,Agricultural Technicians
79,3,17-3011.00,Architectural and Civil Drafters
79,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
79,5,29-1181.00,Audiologists
79,4,17-2141.02,Automotive Engineers
79,4,11-3051.03,Biofuels Production Managers
79,3,17-3022.00,Civil Engineering Technologists and Technicians
79,3,15-1232.00,Computer User Support Specialists
