Importance,Level,Job Zone,Code,Occupation
82,73,4,13-1071.00,Human Resources Specialists
82,73,5,21-1013.00,Marriage and Family Therapists
82,69,3,39-9031.00,Exercise Trainers and Group Fitness Instructors
82,68,5,29-1215.00,Family Medicine Physicians
82,67,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
82,66,2,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
82,65,1,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
81,84,4,33-3031.00,Fish and Game Wardens
81,84,4,27-2012.03,Media Programming Directors
81,80,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
81,79,2,49-9095.00,Manufactured Building and Mobile Home Installers
81,79,5,25-1113.00,"Social Work Teachers, Postsecondary"
81,78,4,13-2099.04,"Fraud Examiners, Investigators and Analysts"
81,78,5,29-1216.00,General Internal Medicine Physicians
81,78,4,13-1161.00,Market Research Analysts and Marketing Specialists
81,78,4,19-3099.01,Transportation Planners
81,77,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
81,76,4,19-1031.00,Conservation Scientists
81,76,3,39-7012.00,Travel Guides
81,75,3,13-1041.04,Government Property Inspectors and Investigators
81,73,4,27-3091.00,Interpreters and Translators
81,71,5,29-9092.00,Genetic Counselors
81,70,5,29-2091.00,Orthotists and Prosthetists
81,68,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
81,66,2,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
81,65,4,41-3021.00,Insurance Sales Agents
80,83,3,33-2021.00,Fire Inspectors and Investigators
80,80,4,15-2051.01,Business Intelligence Analysts
80,79,4,11-9199.01,Regulatory Affairs Managers
80,76,5,23-1011.00,Lawyers
80,76,5,19-3034.00,School Psychologists
80,75,5,29-1299.01,Naturopathic Physicians
80,75,4,25-2057.00,"Special Education Teachers, Middle School"
80,74,5,29-1151.00,Nurse Anesthetists
80,73,4,27-1025.00,Interior Designers
80,73,4,17-1012.00,Landscape Architects
80,73,4,13-1081.00,Logisticians
80,73,2,43-3071.00,Tellers
80,72,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
