Importance,Level,Job Zone,Code,Occupation
83,86,4,17-2031.00,Bioengineers and Biomedical Engineers
83,85,5,15-2031.00,Operations Research Analysts
83,83,5,19-3033.00,Clinical and Counseling Psychologists
83,82,4,17-2041.00,Chemical Engineers
83,81,5,11-9111.00,Medical and Health Services Managers
83,81,4,11-9121.02,Water Resource Specialists
83,80,5,11-1011.03,Chief Sustainability Officers
83,79,5,19-3091.00,Anthropologists and Archeologists
83,79,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
83,79,4,27-1024.00,Graphic Designers
83,79,4,15-1211.01,Health Informatics Specialists
83,79,5,19-3094.00,Political Scientists
83,79,5,19-1013.00,Soil and Plant Scientists
83,76,3,15-1241.01,Telecommunications Engineering Specialists
83,72,3,31-9097.00,Phlebotomists
83,70,5,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
82,82,5,19-3011.01,Environmental Economists
82,82,3,29-2092.00,Hearing Aid Specialists
82,81,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
82,80,5,29-1299.01,Naturopathic Physicians
82,79,5,19-2041.02,Environmental Restoration Planners
82,79,5,19-1041.00,Epidemiologists
82,79,2,49-9095.00,Manufactured Building and Mobile Home Installers
82,79,3,15-1254.00,Web Developers
82,78,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
82,78,3,51-8011.00,Nuclear Power Reactor Operators
82,78,5,29-1023.00,Orthodontists
82,78,3,29-9093.00,Surgical Assistants
82,75,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
82,75,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
82,75,4,13-1081.01,Logistics Engineers
82,75,4,27-3031.00,Public Relations Specialists
82,74,3,53-2022.00,Airfield Operations Specialists
82,74,3,31-2021.00,Physical Therapist Assistants
82,74,4,19-1031.02,Range Managers
82,73,5,11-9041.00,Architectural and Engineering Managers
82,71,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
82,71,5,29-1127.00,Speech-Language Pathologists
82,69,3,19-4013.00,Food Science Technicians
82,69,4,41-9021.00,Real Estate Brokers
82,68,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
