Context,Job Zone,Code,Occupation
85,2,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
85,1,35-2021.00,Food Preparation Workers
85,2,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
85,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses
85,2,53-4011.00,Locomotive Engineers
85,3,51-9082.00,Medical Appliance Technicians
85,5,21-1023.00,Mental Health and Substance Abuse Social Workers
85,2,43-9071.00,"Office Machine Operators, Except Computer"
85,4,21-1092.00,Probation Officers and Correctional Treatment Specialists
85,4,27-3031.00,Public Relations Specialists
85,3,47-2152.04,Solar Thermal Installers and Technicians
85,2,23-2093.00,"Title Examiners, Abstractors, and Searchers"
85,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
84,2,43-3021.00,Billing and Posting Clerks
84,3,19-4031.00,Chemical Technicians
84,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
84,2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
84,2,39-4021.00,Funeral Attendants
84,2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
84,4,11-9081.00,Lodging Managers
84,5,29-1051.00,Pharmacists
84,5,29-1071.00,Physician Assistants
84,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
84,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
84,2,47-5013.00,"Service Unit Operators, Oil and Gas"
84,3,27-4014.00,Sound Engineering Technicians
84,4,11-3031.01,Treasurers and Controllers
83,2,51-3011.00,Bakers
83,3,29-2031.00,Cardiovascular Technologists and Technicians
83,4,21-1021.00,"Child, Family, and School Social Workers"
83,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
83,4,11-9199.02,Compliance Managers
83,3,29-2051.00,Dietetic Technicians
83,3,17-3012.00,Electrical and Electronics Drafters
83,2,51-2031.00,Engine and Other Machine Assemblers
83,2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
83,4,15-1299.09,Information Technology Project Managers
83,3,51-9071.00,Jewelers and Precious Stone and Metal Workers
83,3,33-9021.00,Private Detectives and Investigators
83,3,43-3061.00,Procurement Clerks
83,4,27-2012.00,Producers and Directors
83,3,29-2053.00,Psychiatric Technicians
82,3,39-6012.00,Concierges
82,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
82,3,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
82,2,31-9093.00,Medical Equipment Preparers
82,5,19-1022.00,Microbiologists
82,5,29-1217.00,Neurologists
82,3,51-8011.00,Nuclear Power Reactor Operators
82,5,29-2091.00,Orthotists and Prosthetists
82,2,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
82,3,29-2052.00,Pharmacy Technicians
82,3,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
82,2,47-2053.00,Terrazzo Workers and Finishers
82,3,51-4111.00,Tool and Die Makers
82,2,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
81,2,47-2041.00,Carpet Installers
81,3,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
81,4,29-1141.03,Critical Care Nurses
81,2,51-9194.00,Etchers and Engravers
81,3,27-1022.00,Fashion Designers
81,2,41-1011.00,First-Line Supervisors of Retail Sales Workers
81,4,11-1021.00,General and Operations Managers
81,3,51-4041.00,Machinists
81,2,49-9095.00,Manufactured Building and Mobile Home Installers
81,2,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
81,3,51-7031.00,"Model Makers, Wood"
81,3,49-9063.00,Musical Instrument Repairers and Tuners
81,2,31-1132.00,Orderlies
81,2,53-7064.00,"Packers and Packagers, Hand"
81,5,29-1123.00,Physical Therapists
81,2,47-2151.00,Pipelayers
81,2,51-4052.00,"Pourers and Casters, Metal"
81,4,11-3061.00,Purchasing Managers
81,4,11-3051.01,Quality Control Systems Managers
81,2,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
81,2,47-2221.00,Structural Iron and Steel Workers
81,4,27-3042.00,Technical Writers
81,3,53-6041.00,Traffic Technicians
81,2,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
80,4,13-2011.00,Accountants and Auditors
80,3,49-3011.00,Aircraft Mechanics and Service Technicians
80,5,11-1011.00,Chief Executives
80,2,43-4021.00,Correspondence Clerks
80,4,13-1051.00,Cost Estimators
80,2,39-3092.00,Costume Attendants
80,2,43-4031.00,"Court, Municipal, and License Clerks"
80,4,13-2041.00,Credit Analysts
80,2,43-9021.00,Data Entry Keyers
80,2,51-3092.00,Food Batchmakers
80,3,11-3051.02,Geothermal Production Managers
80,1,45-2041.00,"Graders and Sorters, Agricultural Products"
80,4,11-3051.00,Industrial Production Managers
80,3,43-4111.00,"Interviewers, Except Eligibility and Loan"
80,4,13-1081.02,Logistics Analysts
80,4,11-2021.00,Marketing Managers
80,2,43-3051.00,Payroll and Timekeeping Clerks
80,3,51-8012.00,Power Distributors and Dispatchers
80,2,47-2181.00,Roofers
80,2,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
80,5,27-1027.00,Set and Exhibit Designers
80,2,47-2044.00,Tile and Stone Setters
80,5,29-1131.00,Veterinarians
80,3,49-9081.00,Wind Turbine Service Technicians
79,2,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
79,2,51-2021.00,"Coil Winders, Tapers, and Finishers"
79,2,33-3012.00,Correctional Officers and Jailers
79,2,43-4051.00,Customer Service Representatives
79,3,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
79,3,47-2111.00,Electricians
79,3,33-1011.00,First-Line Supervisors of Correctional Officers
79,2,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
79,2,51-3093.00,Food Cooking Machine Operators and Tenders
79,3,11-9071.00,Gambling Managers
79,2,47-2121.00,Glaziers
79,3,49-3051.00,Motorboat Mechanics and Service Technicians
79,3,23-2011.00,Paralegals and Legal Assistants
79,3,51-7032.00,"Patternmakers, Wood"
79,2,37-2021.00,Pest Control Workers
79,2,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
79,2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
79,4,21-1015.00,Rehabilitation Counselors
79,4,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
79,4,25-2057.00,"Special Education Teachers, Middle School"
79,3,51-2041.00,Structural Metal Fabricators and Fitters
79,2,51-9197.00,Tire Builders
79,2,49-3093.00,Tire Repairers and Changers
78,2,51-9191.00,Adhesive Bonding Machine Operators and Tenders
78,3,53-2022.00,Airfield Operations Specialists
78,3,53-6051.01,Aviation Inspectors
78,4,11-3051.04,Biomass Power Plant Managers
78,4,13-2031.00,Budget Analysts
78,2,51-3021.00,Butchers and Meat Cutters
78,2,51-7011.00,Cabinetmakers and Bench Carpenters
78,2,51-8091.00,Chemical Plant and System Operators
78,2,47-2061.00,Construction Laborers
78,2,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
78,2,49-9051.00,Electrical Power-Line Installers and Repairers
78,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
78,2,27-1023.00,Floral Designers
78,3,11-9171.00,Funeral Home Managers
78,4,13-2072.00,Loan Officers
78,2,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
78,3,31-9094.00,Medical Transcriptionists
78,3,51-4061.00,"Model Makers, Metal and Plastic"
78,2,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic"
78,3,29-2033.00,Nuclear Medicine Technologists
78,5,29-1151.00,Nurse Anesthetists
78,3,31-2012.00,Occupational Therapy Aides
78,4,13-1199.06,Online Merchants
78,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
78,2,43-5052.00,Postal Service Mail Carriers
78,2,49-3092.00,Recreational Vehicle Service Technicians
78,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
78,5,19-3034.00,School Psychologists
78,4,21-1093.00,Social and Human Service Assistants
78,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
77,5,29-1141.02,Advanced Practice Psychiatric Nurses
77,3,47-2011.00,Boilermakers
77,2,47-2021.00,Brickmasons and Blockmasons
77,2,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
77,2,35-2014.00,"Cooks, Restaurant"
77,2,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
77,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
77,3,51-6092.00,Fabric and Apparel Patternmakers
77,4,11-3031.00,Financial Managers
77,3,39-1022.00,First-Line Supervisors of Personal Service Workers
77,3,33-1012.00,First-Line Supervisors of Police and Detectives
77,3,19-4013.00,Food Science Technicians
77,2,51-4071.00,Foundry Mold and Coremakers
77,5,29-1216.00,General Internal Medicine Physicians
77,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
77,2,51-9198.00,Helpers--Production Workers
77,2,47-2132.00,"Insulation Workers, Mechanical"
77,5,23-1012.00,Judicial Law Clerks
77,3,17-3027.00,Mechanical Engineering Technologists and Technicians
77,5,29-1171.00,Nurse Practitioners
77,5,29-1024.00,Prosthodontists
77,3,29-1126.00,Respiratory Therapists
77,2,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
77,3,49-2098.00,Security and Fire Alarm Systems Installers
77,2,47-4091.00,Segmental Pavers
77,2,47-2211.00,Sheet Metal Workers
77,3,13-2082.00,Tax Preparers
76,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
76,5,25-1042.00,"Biological Science Teachers, Postsecondary"
76,2,51-9011.00,Chemical Equipment Operators and Tenders
76,4,27-1021.00,Commercial and Industrial Designers
76,4,15-1251.00,Computer Programmers
76,5,25-1021.00,"Computer Science Teachers, Postsecondary"
76,3,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
76,1,53-7011.00,Conveyor Operators and Tenders
76,3,29-2032.00,Diagnostic Medical Sonographers
76,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
76,3,47-4021.00,Elevator and Escalator Installers and Repairers
76,3,47-4011.01,Energy Auditors
76,5,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
76,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
76,2,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
