Context,Job Zone,Code,Occupation
88,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
88,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
88,2,47-4031.00,Fence Erectors
88,2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
88,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
88,4,19-4092.00,Forensic Science Technicians
88,3,11-9171.00,Funeral Home Managers
88,5,19-3093.00,Historians
88,5,11-3031.03,Investment Fund Managers
88,5,15-2021.00,Mathematicians
88,5,29-1122.00,Occupational Therapists
88,4,17-2171.00,Petroleum Engineers
88,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
88,5,19-2012.00,Physicists
88,4,53-6051.00,Transportation Inspectors
88,3,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
88,5,19-1023.00,Zoologists and Wildlife Biologists
87,2,53-1041.00,Aircraft Cargo Handling Supervisors
87,2,49-3091.00,Bicycle Repairers
87,4,11-3111.00,Compensation and Benefits Managers
87,3,33-3021.00,Detectives and Criminal Investigators
87,5,29-1215.00,Family Medicine Physicians
87,3,11-9071.00,Gambling Managers
87,4,13-1071.00,Human Resources Specialists
87,3,11-3051.06,Hydroelectric Production Managers
87,3,43-4131.00,Loan Interviewers and Clerks
87,5,29-1299.01,Naturopathic Physicians
87,2,43-3051.00,Payroll and Timekeeping Clerks
87,3,31-2021.00,Physical Therapist Assistants
87,3,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
87,5,19-3034.00,School Psychologists
87,3,49-9097.00,Signal and Track Switch Repairers
86,4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
86,5,29-1071.01,Anesthesiologist Assistants
86,5,29-1211.00,Anesthesiologists
86,4,27-1011.00,Art Directors
86,5,29-1129.01,Art Therapists
86,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
86,4,15-2051.01,Business Intelligence Analysts
86,5,11-1011.03,Chief Sustainability Officers
86,3,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
86,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
86,5,19-1041.00,Epidemiologists
86,3,33-1012.00,First-Line Supervisors of Police and Detectives
86,4,11-9179.01,Fitness and Wellness Coordinators
86,5,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
86,2,43-5011.01,Freight Forwarders
86,5,29-1216.00,General Internal Medicine Physicians
86,4,17-2112.00,Industrial Engineers
86,3,13-1032.00,"Insurance Appraisers, Auto Damage"
86,5,17-2199.06,Microsystems Engineers
86,5,29-1151.00,Nurse Anesthetists
86,5,29-1127.00,Speech-Language Pathologists
86,3,51-2041.00,Structural Metal Fabricators and Fitters
86,3,51-4111.00,Tool and Die Makers
85,5,29-1141.02,Advanced Practice Psychiatric Nurses
85,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
85,3,53-6051.01,Aviation Inspectors
85,4,11-3051.04,Biomass Power Plant Managers
85,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
85,3,49-9061.00,Camera and Photographic Equipment Repairers
85,4,21-1021.00,"Child, Family, and School Social Workers"
85,3,53-2012.00,Commercial Pilots
85,3,27-3092.00,Court Reporters and Simultaneous Captioners
85,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
85,5,19-2041.02,Environmental Restoration Planners
85,3,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
85,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
85,4,13-1131.00,Fundraisers
85,5,19-2041.03,Industrial Ecologists
85,4,15-1299.09,Information Technology Project Managers
85,4,13-2072.00,Loan Officers
85,2,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
85,4,17-2199.05,Mechatronics Engineers
85,4,29-1129.02,Music Therapists
85,5,11-9121.00,Natural Sciences Managers
85,3,19-5012.00,Occupational Health and Safety Technicians
85,5,29-1041.00,Optometrists
85,5,29-1123.00,Physical Therapists
85,3,51-9195.05,"Potters, Manufacturing"
85,3,33-9021.00,Private Detectives and Investigators
85,5,29-1223.00,Psychiatrists
85,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
85,4,19-1031.02,Range Managers
85,4,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
85,3,49-2098.00,Security and Fire Alarm Systems Installers
84,5,29-1291.00,Acupuncturists
84,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
84,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
84,5,19-1021.00,Biochemists and Biophysicists
84,2,43-5011.00,Cargo and Freight Agents
84,3,15-1232.00,Computer User Support Specialists
84,3,39-6012.00,Concierges
84,1,47-2043.00,Floor Sanders and Finishers
84,3,43-6012.00,Legal Secretaries and Administrative Assistants
84,3,49-9071.00,"Maintenance and Repair Workers, General"
84,5,21-1013.00,Marriage and Family Therapists
84,4,25-4013.00,Museum Technicians and Conservators
84,4,13-1199.06,Online Merchants
84,2,37-2021.00,Pest Control Workers
84,5,29-1051.00,Pharmacists
84,5,29-1222.00,"Physicians, Pathologists"
84,5,29-1081.00,Podiatrists
84,4,39-9032.00,Recreation Workers
84,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
84,3,25-3021.00,Self-Enrichment Teachers
84,2,43-5071.00,"Shipping, Receiving, and Inventory Clerks"
84,4,11-9151.00,Social and Community Service Managers
84,3,39-7012.00,Travel Guides
84,4,11-3031.01,Treasurers and Controllers
84,2,37-3013.00,Tree Trimmers and Pruners
84,4,15-1299.01,Web Administrators
83,3,29-1141.01,Acute Care Nurses
83,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
83,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
83,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
83,4,11-9199.02,Compliance Managers
83,4,15-1231.00,Computer Network Support Specialists
83,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
83,3,39-4011.00,Embalmers
83,5,13-2099.01,Financial Quantitative Analysts
83,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
83,2,53-7071.00,Gas Compressor and Gas Pumping Station Operators
83,4,13-1075.00,Labor Relations Specialists
83,5,25-4022.00,Librarians and Media Collections Specialists
83,3,17-3013.00,Mechanical Drafters
83,3,49-9063.00,Musical Instrument Repairers and Tuners
83,4,27-3023.00,"News Analysts, Reporters, and Journalists"
83,3,29-2033.00,Nuclear Medicine Technologists
83,5,29-1171.00,Nurse Practitioners
83,2,51-9083.00,Ophthalmic Laboratory Technicians
83,4,19-1031.03,Park Naturalists
83,5,29-1071.00,Physician Assistants
83,2,53-7081.00,Refuse and Recyclable Material Collectors
83,5,19-1013.00,Soil and Plant Scientists
83,4,11-3131.00,Training and Development Managers
83,3,41-3041.00,Travel Agents
83,4,27-3043.00,Writers and Authors
82,2,33-9011.00,Animal Control Workers
82,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
82,3,47-4011.00,Construction and Building Inspectors
82,2,43-4021.00,Correspondence Clerks
82,2,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
82,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
82,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
82,4,17-2072.00,"Electronics Engineers, Except Computer"
82,3,51-8092.00,Gas Plant Operators
82,3,29-2092.00,Hearing Aid Specialists
82,4,27-1025.00,Interior Designers
82,3,25-4031.00,Library Technicians
82,4,13-1161.00,Market Research Analysts and Marketing Specialists
82,3,51-9082.00,Medical Appliance Technicians
82,3,49-3052.00,Motorcycle Mechanics
82,2,43-4151.00,Order Clerks
82,2,41-2022.00,Parts Salespersons
